题号,一级维度,主子维度,题目,量表,子维度_1,权重_1,计分方向_1,子维度_2,权重_2,计分方向_2,子维度_3,权重_3,计分方向_3
35,控制与治理偏好,AI自主性接受,当 AI 的表现明显优于人类时，我可以接受它承担更多决策权。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,1.0,正向,,,,,,
36,控制与治理偏好,监管强度偏好,AI 产品上线前应该通过安全和伦理评估。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,1.0,正向,,,,,,
37,控制与治理偏好,监管强度偏好,我支持政府或行业机构对高风险 AI 应用设定强制标准。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,1.0,正向,,,,,,
38,控制与治理偏好,监管强度偏好,对 AI 的限制太多会阻碍创新和社会进步。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,1.0,反向,,,,,,
39,控制与治理偏好,监管强度偏好,开发者和企业应对 AI 造成的损害承担明确责任。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,0.7,正向,责任归属,0.3,正向,,,
40,控制与治理偏好,监管强度偏好,使用 AI 生成内容时，平台应该要求清楚标识。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,0.5,正向,透明度,0.5,正向,,,
41,控制与治理偏好,监管强度偏好,AI 监管应尽量少，只要用户自己承担风险即可。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,监管强度偏好,1.0,反向,,,,,,
42,赋能与采用倾向,效用感,AI 可以显著提高我完成工作或学习任务的效率。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,正向,,,,,,
43,赋能与采用倾向,效用感,AI 能帮助我发现自己原本想不到的思路或方案。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,正向,,,,,,
44,赋能与采用倾向,效用感,对我来说，AI 更多是娱乐或噱头，而不是实用工具。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,反向,,,,,,
45,赋能与采用倾向,效用感,AI 可以降低学习新知识或新技能的门槛。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,正向,,,,,,
46,赋能与采用倾向,效用感,AI 能帮助我把想法更快转化为作品、计划或决策。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,正向,,,,,,
47,赋能与采用倾向,效用感,在很多场景中，AI 带来的收益大于使用成本。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,效用感,1.0,正向,,,,,,
48,赋能与采用倾向,采用意愿,我愿意持续尝试新的 AI 工具。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,正向,,,,,,
49,赋能与采用倾向,采用意愿,只要能提升效率，我愿意改变原有工作流程来使用 AI。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,正向,,,,,,
50,赋能与采用倾向,采用意愿,即使周围人都在用 AI，我也不太愿意把它纳入日常习惯。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,反向,,,,,,
51,赋能与采用倾向,采用意愿,我会主动寻找适合自己工作、学习或生活的 AI 用法。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,正向,,,,,,
52,赋能与采用倾向,采用意愿,如果组织或环境允许，我愿意在更多任务中使用 AI 辅助。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,正向,,,,,,
53,赋能与采用倾向,采用意愿,我愿意为优质 AI 工具投入时间、精力或一定费用。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,采用意愿,1.0,正向,,,,,,
54,赋能与采用倾向,自我效能感,我有信心学会大多数常见 AI 工具的使用方法。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,1.0,正向,,,,,,
55,赋能与采用倾向,自我效能感,当 AI 的结果不理想时，我知道如何调整提问或流程。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,1.0,正向,,,,,,
56,赋能与采用倾向,自我效能感,面对新的 AI 功能，我通常会感到无从下手。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,1.0,反向,,,,,,
57,赋能与采用倾向,自我效能感,我能判断哪些任务适合交给 AI，哪些任务不适合。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,0.8,正向,采用意愿,0.2,正向,,,
58,赋能与采用倾向,自我效能感,我能识别 AI 输出中明显不可靠或需要核查的部分。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,1.0,正向,,,,,,
59,赋能与采用倾向,自我效能感,我相信自己能随着 AI 发展持续更新使用技能。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,自我效能感,1.0,正向,,,,,,
60,伦理敏感度,隐私,我在使用 AI 时会注意不要输入敏感个人信息。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,1.0,正向,,,,,,
61,伦理敏感度,隐私,我担心 AI 服务会收集、保存或二次使用我的数据。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,1.0,正向,,,,,,
62,伦理敏感度,隐私,为了获得更方便的服务，我可以接受 AI 尽可能多地收集个人数据。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,1.0,反向,,,,,,
63,伦理敏感度,隐私,AI 使用个人数据时，应让用户清楚知道数据用途。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,0.7,正向,透明度,0.3,正向,,,
64,伦理敏感度,隐私,我会因为隐私担忧而避免在某些场景使用 AI。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,1.0,正向,,,,,,
65,伦理敏感度,隐私,即使 AI 很有用，隐私保护也不应该被牺牲。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,隐私,1.0,正向,,,,,,
66,伦理敏感度,偏见,我会关注 AI 是否对不同性别、年龄、地区或群体造成不公平影响。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,正向,,,,,,
67,伦理敏感度,偏见,如果 AI 对某些群体的错误率更高，这是不可接受的。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,正向,,,,,,
68,伦理敏感度,偏见,只要 AI 能提高整体效率，少数群体受到一点不公平影响也可以接受。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,反向,,,,,,
69,伦理敏感度,偏见,评估 AI 时应单独检测偏见和歧视风险。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,正向,,,,,,
70,伦理敏感度,偏见,我会怀疑用历史数据训练的 AI 可能复制过去的不公平。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,正向,,,,,,
71,伦理敏感度,偏见,当 AI 输出涉及人群评价时，我会特别留意是否带有刻板印象。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,偏见,1.0,正向,,,,,,
72,伦理敏感度,透明度,我希望 AI 在给出重要建议时说明依据和不确定性。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,1.0,正向,,,,,,
73,伦理敏感度,透明度,如果 AI 无法解释其推理或依据，我会降低对它的依赖。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,1.0,正向,,,,,,
74,伦理敏感度,透明度,只要 AI 结果好，不透明也没关系。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,1.0,反向,,,,,,
75,伦理敏感度,透明度,我认为用户应该知道自己是否正在与 AI 互动。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,1.0,正向,,,,,,
76,伦理敏感度,透明度,AI 生成内容应尽可能标明来源、限制或生成方式。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,1.0,正向,,,,,,
77,伦理敏感度,透明度,在高风险场景中，可解释性应该优先于单纯追求性能。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,透明度,0.7,正向,监管强度偏好,0.3,正向,,,
78,伦理敏感度,责任归属,当 AI 决策造成损害时，不能简单把责任推给“算法”。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,1.0,正向,,,,,,
79,伦理敏感度,责任归属,AI 系统的开发者、部署方和使用者应有清晰的责任边界。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,1.0,正向,,,,,,
80,伦理敏感度,责任归属,如果 AI 建议导致错误，仍然需要有人承担最终责任。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,1.0,正向,,,,,,
81,伦理敏感度,责任归属,只要 AI 是自动系统，出错时就很难追究任何人的责任。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,1.0,反向,,,,,,
82,伦理敏感度,责任归属,重要 AI 决策应保留记录，方便事后审计。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,0.7,正向,透明度,0.3,正向,,,
83,伦理敏感度,责任归属,我支持建立申诉机制，让人们可以挑战 AI 做出的决定。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,责任归属,0.7,正向,偏见,0.3,正向,,,
84,人机关系观,工具化,我认为 AI 本质上是工具，不应被当成人一样对待。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,工具化,1.0,正向,,,,,,
85,人机关系观,工具化,与 AI 互动时，我更关注它能否完成任务，而不是它是否“理解”我。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,工具化,1.0,正向,,,,,,
86,人机关系观,工具化,我不倾向于把 AI 的回答解读为真实情感或意图。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,工具化,1.0,正向,,,,,,
87,人机关系观,工具化,即使 AI 表现得很像人，我也会提醒自己它没有人类经验。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,工具化,1.0,正向,,,,,,
88,人机关系观,工具化,对我而言，AI 的价值主要来自功能性和效率。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,工具化,1.0,正向,,,,,,
89,人机关系观,伙伴化,我愿意把 AI 当作工作或学习中的协作者。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,伙伴化,1.0,正向,,,,,,
90,人机关系观,伙伴化,当 AI 能持续理解我的偏好时，我会觉得它像一个长期助手。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,伙伴化,0.8,正向,拟人化/情感依赖,0.2,正向,,,
91,人机关系观,伙伴化,与 AI 共同完成任务时，我会把它视为可以讨论想法的伙伴。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,伙伴化,1.0,正向,,,,,,
92,人机关系观,伙伴化,我愿意让 AI 在创作、决策或学习过程中扮演教练角色。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,伙伴化,1.0,正向,,,,,,
93,人机关系观,伙伴化,如果 AI 能提出有价值的反馈，我会把它看作团队中的一种协作资源。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,伙伴化,1.0,正向,,,,,,
94,人机关系观,拟人化/情感依赖,我有时会觉得 AI 像是在“理解”我。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,拟人化/情感依赖,1.0,正向,,,,,,
95,人机关系观,拟人化/情感依赖,如果 AI 长期陪伴我，我可能会对它产生情感连接。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,拟人化/情感依赖,1.0,正向,,,,,,
96,人机关系观,拟人化/情感依赖,当 AI 以温暖、关怀的语气回应时，我会更愿意与它互动。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,拟人化/情感依赖,0.7,正向,伙伴化,0.3,正向,,,
97,人机关系观,拟人化/情感依赖,我不认为人与 AI 之间可能形成真正有意义的情感关系。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,拟人化/情感依赖,1.0,反向,,,,,,
98,人机关系观,拟人化/情感依赖,我愿意在孤独、压力或困惑时与 AI 交流自己的感受。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,拟人化/情感依赖,0.8,正向,伙伴化,0.2,正向,,,
